Date,Q(m3/s)
2006-09-01,0.230166
2006-10-01,0.244032
2006-11-01,0.313495
2006-12-01,0.340717
2007-01-01,0.265553
2007-02-01,0.233049
2007-03-01,0.184686
2007-04-01,0.137731
2007-05-01,0.21647
2007-06-01,0.216126
2007-07-01,0.214072
2007-08-01,0.212904
2007-09-01,0.212505
2007-10-01,0.238611
2007-11-01,0.315144
2007-12-01,0.363338
2008-01-01,0.278139
2008-02-01,0.237395
2008-03-01,0.183825
2008-04-01,0.12566
2008-05-01,0.207248
2008-06-01,0.210408
2008-07-01,0.21647
2008-08-01,0.218437
2008-09-01,0.221272
2008-10-01,0.240198
2008-11-01,0.318031
2008-12-01,0.373361
2009-01-01,0.281435
2009-02-01,0.238591
2009-03-01,0.187578
2009-04-01,0.131886
2009-05-01,0.211367
2009-06-01,0.21098
2009-07-01,0.211367
2009-08-01,0.211121
2009-09-01,0.210726
2009-10-01,0.244597
2009-11-01,0.314832
2009-12-01,0.358373
2010-01-01,0.279363
2010-02-01,0.236931
2010-03-01,0.181439
2010-04-01,0.125025
2010-05-01,0.235652
2010-06-01,0.242935
2010-07-01,0.242783
2010-08-01,0.247456
2010-09-01,0.253227
2010-10-01,0.248193
2010-11-01,0.316668
2010-12-01,0.383006
2011-01-01,0.275847
2011-02-01,0.23637
2011-03-01,0.182694
2011-04-01,0.152851
2011-05-01,0.230118
2011-06-01,0.246048
2011-07-01,0.272355
2011-08-01,0.275122
2011-09-01,0.273429
2011-10-01,0.270203
2011-11-01,0.31339
2011-12-01,0.382358
2012-01-01,0.277817
2012-02-01,0.23665
2012-03-01,0.182592
2012-04-01,0.172862
2012-05-01,0.248132
2012-06-01,0.245921
2012-07-01,0.240754
2012-08-01,0.238726
2012-09-01,0.237726
2012-10-01,0.238118
2012-11-01,0.306649
2012-12-01,0.384913
2013-01-01,0.274757
2013-02-01,0.236655
2013-03-01,0.180052
2013-04-01,0.142686
2013-05-01,0.236635
2013-06-01,0.238551
2013-07-01,0.238541
2013-08-01,0.237004
2013-09-01,0.235883
2013-10-01,0.235021
2013-11-01,0.302398
2013-12-01,0.375514
2014-01-01,0.268005
2014-02-01,0.22674
2014-03-01,0.174703
2014-04-01,0.141479
2014-05-01,0.224339
2014-06-01,0.234613
2014-07-01,0.234422
2014-08-01,0.232516
2014-09-01,0.239504
2014-10-01,0.236389
2014-11-01,0.299376
2014-12-01,0.359575
2015-01-01,0.260678
2015-02-01,0.224368
2015-03-01,0.187636
2015-04-01,0.263963
2015-05-01,0.256739
2015-06-01,0.25418
2015-07-01,0.275736
2015-08-01,0.341335
2015-09-01,0.337021
2015-10-01,0.334572
2015-11-01,0.326031
2015-12-01,0.356006
2016-01-01,0.255774
2016-02-01,0.22647
2016-03-01,0.380313
2016-04-01,0.568203
2016-05-01,0.614797
2016-06-01,0.63529
2016-07-01,0.541021
2016-08-01,0.584426
2016-09-01,0.63529
2016-10-01,0.614797
2016-11-01,0.63529
2016-12-01,0.614797
2017-01-01,0.614797
2017-02-01,0.680668
2017-03-01,0.614797
2017-04-01,0.550796
2017-05-01,0.614797
2017-06-01,0.63529
2017-07-01,0.614797
2017-08-01,0.614797
2017-09-01,0.63529
2017-10-01,0.614797
2017-11-01,0.63529
2017-12-01,0.614797
2018-01-01,0.614797
2018-02-01,0.680668
2018-03-01,0.614797
2018-04-01,0.63529
2018-05-01,0.575081
2018-06-01,0.569982
2018-07-01,0.506654
2018-08-01,0.483046
2018-09-01,0.488157
2018-10-01,0.463065
2018-11-01,0.57894
2018-12-01,0.494358
2019-01-01,0.451322
2019-02-01,0.452984
2019-03-01,0.363775
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,0
2022-02-01,0
2022-03-01,0
