Date,Q(m3/s)
2002-10-01,0.655283
2002-11-01,0.630085
2002-12-01,0.570523
2003-01-01,0.534569
2003-02-01,0.553935
2003-03-01,0.465752
2003-04-01,0.445386
2003-05-01,0.402815
2003-06-01,0.389259
2003-07-01,0.34962
2003-08-01,0.324546
2003-09-01,0.311519
2003-10-01,0.281542
2003-11-01,0.273508
2003-12-01,0.250376
2004-01-01,0.237242
2004-02-01,0.239856
2004-03-01,0.212878
2004-04-01,0.207588
2004-05-01,0.189149
2004-06-01,0.184133
2004-07-01,0.231678
2004-08-01,0.303859
2004-09-01,0.31751
2004-10-01,0.292188
2004-11-01,0.284319
2004-12-01,0.260119
2005-01-01,0.24626
2005-02-01,0.257898
2005-03-01,0.218904
2005-04-01,0.21383
2005-05-01,0.196179
2005-06-01,0.189704
2005-07-01,0.183409
2005-08-01,0.205683
2005-09-01,0.228005
2005-10-01,0.213843
2005-11-01,0.209622
2005-12-01,0.192543
2006-01-01,0.182835
2006-02-01,0.191944
2006-03-01,0.163256
2006-04-01,0.157688
2006-05-01,0.142243
2006-06-01,0.137051
2006-07-01,0.127758
2006-08-01,0.123643
2006-09-01,0.120339
2006-10-01,0.109727
2006-11-01,0.107549
2006-12-01,0.0993571
2007-01-01,0.0949548
2007-02-01,0.100336
2007-03-01,0.0859297
2007-04-01,0.0835274
2007-05-01,0.0759158
2007-06-01,0.0752932
2007-07-01,0.0702897
2007-08-01,0.0666036
2007-09-01,0.0651354
2007-10-01,0.0597704
2007-11-01,0.0588449
2007-12-01,0.0545699
2008-01-01,0.0523671
2008-02-01,0.0535688
2008-03-01,0.0475833
2008-04-01,0.0463681
2008-05-01,0.0456004
2008-06-01,0.0546211
2008-07-01,0.0681579
2008-08-01,0.0801034
2008-09-01,0.0878916
2008-10-01,0.0867369
2008-11-01,0.0860795
2008-12-01,0.0796524
2009-01-01,0.0761985
2009-02-01,0.0805283
2009-03-01,0.068899
2009-04-01,0.0668356
2009-05-01,0.0617611
2009-06-01,0.0611103
2009-07-01,0.0599481
2009-08-01,0.0615696
2009-09-01,0.0611339
2009-10-01,0.0561563
2009-11-01,0.0552377
2009-12-01,0.0511723
2010-01-01,0.0490513
2010-02-01,0.0519573
2010-03-01,0.0445803
2010-04-01,0.0443021
2010-05-01,0.089403
2010-06-01,0.156085
2010-07-01,0.158624
2010-08-01,0.168182
2010-09-01,0.188483
2010-10-01,0.184384
2010-11-01,0.181671
2010-12-01,0.167269
2011-01-01,0.159223
2011-02-01,0.167505
2011-03-01,0.14282
2011-04-01,0.138301
2011-05-01,0.125133
2011-06-01,0.145659
2011-07-01,0.192381
2011-08-01,0.233254
2011-09-01,0.245423
2011-10-01,0.229259
2011-11-01,0.227037
2011-12-01,0.208603
2012-01-01,0.198058
2012-02-01,0.200582
2012-03-01,0.176421
2012-04-01,0.180478
2012-05-01,0.172328
2012-06-01,0.165898
2012-07-01,0.149788
2012-08-01,0.142229
2012-09-01,0.1405
2012-10-01,0.128626
2012-11-01,0.126101
2012-12-01,0.116329
2013-01-01,0.110991
2013-02-01,0.117018
2013-03-01,0.0999597
2013-04-01,0.0969823
2013-05-01,0.115463
2013-06-01,0.145301
2013-07-01,0.142968
2013-08-01,0.142871
2013-09-01,0.140717
2013-10-01,0.128679
2013-11-01,0.126191
2013-12-01,0.116463
2014-01-01,0.111163
2014-02-01,0.117283
2014-03-01,0.100277
2014-04-01,0.0973368
2014-05-01,0.0975523
2014-06-01,0.120198
2014-07-01,0.131147
2014-08-01,0.130355
2014-09-01,0.140307
2014-10-01,0.14101
2014-11-01,0.139175
2014-12-01,0.128336
2015-01-01,0.122445
2015-02-01,0.129024
2015-03-01,0.174074
2015-04-01,0.239095
2015-05-01,0.214716
2015-06-01,0.205994
2015-07-01,0.226038
2015-08-01,0.343541
2015-09-01,0.451397
2015-10-01,0.446498
2015-11-01,0.450586
2015-12-01,0.409789
2016-01-01,0.385506
2016-02-01,0.387284
2016-03-01,0.338686
2016-04-01,0.3512
2016-05-01,0.439908
2016-06-01,0.599008
2016-07-01,0.620792
2016-08-01,0.592499
2016-09-01,0.570231
2016-10-01,0.512213
2016-11-01,0.493877
2016-12-01,0.468421
2017-01-01,0.45905
2017-02-01,0.476988
2017-03-01,0.402106
2017-04-01,0.385382
2017-05-01,0.632434
2017-06-01,1.04009
2017-07-01,1.04345
2017-08-01,1.01141
2017-09-01,1.00396
2017-10-01,0.901184
2017-11-01,0.861632
2017-12-01,0.775414
2018-01-01,0.722308
2018-02-01,0.74468
2018-03-01,0.625657
2018-04-01,0.600367
2018-05-01,0.539811
2018-06-01,0.545664
2018-07-01,0.526292
2018-08-01,0.504884
2018-09-01,0.491647
2018-10-01,0.444321
2018-11-01,0.429865
2018-12-01,0.391779
2019-01-01,0.369522
2019-02-01,0.384919
2019-03-01,0.325304
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,0
2022-02-01,0
2022-03-01,0
